id,sf_participant,region,gender,age,edu,status,hh_mem,agri_long,irriga,loan,Non-Farm Act,other_inc,agri Org_mem,Year,crop1,land_crop1_in,price_crop1_in,Tot_Yield_crop1,Avg_Prod_Crop1,ProductivityCrop1_Ch,Land_Proportion_Crop1,Weight_ProduCrop1_Ch,crop2,land_crop2,price_crop2,Tot_Yield_crop2,Avg_Prod_Crop2,ProductivityCrop2_Ch,Land_Proportion_Crop2,Weight_ProduCrop2_Ch,crop3,round_crop3,land_crop3,Tot_Yield_crop3,price_crop3,Avg_Prod_Crop3,ProductivityCrop3_Ch,Land_Proportion_Crop3,Weight_ProduCrop3_Ch,Produtivity_Ch(All),Ave_ProdRisk,Ave_InputRisk,Ave_MktRisk,Ave_InfRisk,Ave_FinRisk,Overview_Risk,gov_support,29.agri_learning_chan,31.agri_tech_adapt,31.1Adapt_tech_prod,31.2farm_manag,31.3agri_entrep,31.4val_added,Avg_ProdManage,Avg_InputManage,Avg_Tech,Avg_Ana&Plan,Avg_Mkting,Avg_Network,All_Skill,Ch_ProdManage,Ch_InputManage,Ch_Tech,Ch_Ana&Plan,Ch_Mkting,Ch_Network,Ch_Skill
22,0,5,1,30,5,1,5,12,0,1,1,400000,0,1,1,2,7.8,1800,900,0.384615385,1,0.384615385,,,,,,,0,0,,,,,,,,0,0,0.384615385,4,4.333333333,4,4.5,4,4.166666667,4,3,1,1,1,1,0,3,3.33,3.5,3,2.33,3,3.03,0.2,0,0.25,0.2,0.67,0,0.22
22,0,5,1,30,5,1,5,12,0,1,1,0,0,0,1,2,10,1300,650,-0.78,1,-0.78,,,,,,,0,0,,,,,,,,0,0,,4,4.333333333,4,4.5,4,4.166666667,4,3,1,1,1,1,0,2.8,3.33,3.25,2.8,1.67,3,2.81,-1.8,-0.333333333,-1.25,-1.4,-2.666666667,-1.75,-1.533333333
24,1,1,0,47,5,1,6,20,1,1,1,100000,1,1,1,13,11,39000,3000,0,0.68,0,8,3,8,3000,1000,0,0.157894737,0,7,1,3,100,20,33.33333333,0,0.157894737,0,0,2.5,2.333333333,1.666666667,1.5,3.5,,2,5,,,,,,4.6,3.67,4.5,4.2,4.33,4.75,4.34,-0.4,-0.666666667,0.5,0,1.666666667,0.5,0.266666667
24,1,1,0,47,5,1,6,20,1,1,1,.,1,0,1,13,11,39000,3000,0.5,0.68,0.34,8,3,8,3000,1000,15.66666667,0.157894737,2.473684211,7,1,3,100,20,33.33333333,,0.157894737,0,,2.5,2.333333333,1.666666667,1.5,3.5,2.3,2,5,,,,,,5,4.33,4,4.2,2.67,4.25,4.08,1.6,0,0.5,2,-1.333333333,0.25,0.502777778
25,1,1,0,75,1,4,5,39,1,0,0,0,0,1,1,32,10,64000,2000,0,0.96,0,8,1.25,100,75,60,0,0.037593985,0,,,,,,,,0,0,0,1.5,3,5,4.5,3.5,3.5,5,5,,,,,,3.4,4.33,3.5,2.2,4,4,3.57,0.6,-0.333333333,2,-0.4,2,2.5,1.061111111
25,1,1,0,75,1,4,5,39,1,0,0,0,0,0,1,32,10,64000,2000,5.67,0.96,5.45,8,1.25,100,75,60,,0.037593985,0,,,,,,,,0,0,,1.5,3,5,4.5,3.5,3.5,5,5,,,,,,2.8,4.67,1.5,2.6,2,1.5,2.51,-2,1,-2.75,-1.6,-2,-3,-1.725
27,1,5,1,56,2,2,3,40,1,0,1,100000,1,1,1,10,5,3000,300,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,1.5,1,1.333333333,4,3.5,2.266666667,1,5,,,,,,4.8,3.67,4.25,4.2,4,4.5,4.24,1.6,0,0.75,0.8,0.333333333,1.25,0.788888889
27,1,5,1,56,2,2,3,40,1,0,1,100000,1,0,1,10,5,3000,300,-0.81,1,-0.81,,,,,,,0,0,,,,,,,,0,0,,1.5,1,1.333333333,4,3.5,2.266666667,1,5,,,,,,3.2,3.67,3.5,3.4,3.67,3.25,3.45,-1.4,-1,-0.75,-1,0,-1.5,-0.941666667
28,1,1,1,38,5,2,3,15,1,0,1,150000,1,1,1,10,29,16000,1600,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,1.5,1.333333333,1.333333333,1.5,2.5,1.633333333,1,5,,,,,,4.6,4.67,4.25,4.4,3.67,4.75,4.39,-0.4,0.333333333,-0.5,-0.6,1.333333333,0,0.027777778
28,1,1,1,38,5,2,3,15,1,0,1,150000,1,0,1,10,29,16000,1600,2.2,1,2.2,,,,,,,0,0,,,,,,,,0,0,,1.5,1.333333333,1.333333333,1.5,2.5,1.633333333,1,5,,,,,,5,4.33,4.75,5,2.33,4.75,4.36,1,0.333333333,1,1,-1.666666667,0.75,0.402777778
